date,event,value,surprise_z,surprise,regime,confidence,y10_1d,y10_5d,y10_21d,curve_1d,curve_5d,y2_1d,y2_5d,sp500_1d
2015-01-01,CPI_MOM,-0.637,-2.782,MISS,GOLDILOCKS,HIGH,-5.0,-14.0,-49.0,-4.0,-9.0,-1.0,-5.0,
2015-02-01,CPI_MOM,0.253,0.745,BEAT,GOLDILOCKS,HIGH,0.0,27.0,44.0,-2.0,9.0,2.0,18.0,
2015-03-01,CPI_MOM,0.269,0.789,BEAT,GOLDILOCKS,MEDIUM,8.0,24.0,-4.0,5.0,14.0,3.0,10.0,
2015-04-01,CPI_MOM,0.104,0.186,INLINE,GOLDILOCKS,HIGH,5.0,5.0,18.0,5.0,6.0,0.0,-1.0,
2015-05-01,CPI_MOM,0.33,1.002,BEAT,GOLDILOCKS,MEDIUM,4.0,4.0,15.0,4.0,5.0,0.0,-1.0,
2015-06-01,CPI_MOM,0.277,0.782,BEAT,GOLDILOCKS,MEDIUM,8.0,20.0,16.0,8.0,14.0,0.0,6.0,
2015-07-01,CPI_MOM,0.159,0.362,INLINE,GOLDILOCKS,MEDIUM,-3.0,-11.0,-23.0,2.0,-2.0,-5.0,-9.0,
2015-08-01,CPI_MOM,-0.0,-0.197,INLINE,GOLDILOCKS,HIGH,-4.0,-2.0,1.0,-5.0,-8.0,1.0,6.0,
2015-09-01,CPI_MOM,-0.225,-0.944,MISS,GOLDILOCKS,HIGH,3.0,4.0,-12.0,1.0,-1.0,2.0,5.0,
2015-10-01,CPI_MOM,0.099,-0.009,INLINE,GOLDILOCKS,MEDIUM,-6.0,7.0,15.0,0.0,6.0,-6.0,1.0,
2015-11-01,CPI_MOM,0.119,0.026,INLINE,DEFLATION_RISK,MEDIUM,4.0,18.0,2.0,2.0,3.0,2.0,15.0,
2015-12-01,CPI_MOM,-0.108,-0.806,MISS,DEFLATION_RISK,MEDIUM,3.0,9.0,12.0,0.0,6.0,3.0,3.0,
2016-01-01,CPI_MOM,-0.046,-0.925,MISS,GOLDILOCKS,MEDIUM,-3.0,-14.0,-40.0,1.0,-2.0,-4.0,-12.0,
2016-02-01,CPI_MOM,-0.133,-1.334,MISS,GOLDILOCKS,MEDIUM,-10.0,-22.0,-13.0,-4.0,-7.0,-6.0,-15.0,
2016-03-01,CPI_MOM,0.313,1.172,BEAT,GOLDILOCKS,MEDIUM,1.0,0.0,-5.0,1.0,-3.0,0.0,3.0,
2016-04-01,CPI_MOM,0.383,1.358,BEAT,DEFLATION_RISK,MEDIUM,-1.0,-7.0,9.0,0.0,-1.0,-1.0,-6.0,
2016-05-01,CPI_MOM,0.236,0.657,BEAT,DEFLATION_RISK,MEDIUM,5.0,-4.0,1.0,2.0,-1.0,3.0,-3.0,16.13
2016-06-01,CPI_MOM,0.278,0.87,BEAT,GOLDILOCKS,MEDIUM,-4.0,-14.0,-36.0,-2.0,-1.0,-2.0,-13.0,5.93
2016-07-01,CPI_MOM,-0.05,-0.508,MISS,GOLDILOCKS,HIGH,-9.0,-3.0,9.0,-6.0,-10.0,-3.0,7.0,-14.4
2016-08-01,CPI_MOM,0.185,0.384,INLINE,GOLDILOCKS,MEDIUM,4.0,8.0,6.0,4.0,1.0,0.0,7.0,-13.81
2016-09-01,CPI_MOM,0.262,0.625,BEAT,GOLDILOCKS,MEDIUM,3.0,10.0,6.0,1.0,9.0,2.0,1.0,9.12
2016-10-01,CPI_MOM,0.234,0.138,INLINE,GOLDILOCKS,MEDIUM,3.0,13.0,23.0,-0.0,7.0,3.0,6.0,-7.07
2016-11-01,CPI_MOM,0.118,-0.514,MISS,GOLDILOCKS,MEDIUM,-2.0,5.0,57.0,0.0,1.0,-2.0,4.0,-13.78
2016-12-01,CPI_MOM,0.252,0.105,INLINE,GOLDILOCKS,MEDIUM,-5.0,-5.0,0.0,-2.0,-3.0,-3.0,-2.0,0.87
